character,state,probability
c8,71,0.034847
c8,72,0.097149
c8,73,0.001056
c8,74,0.001056
c8,75,0.001056
c8,76,0.001056
c8,77,0.001056
c8,78,0.001056
c8,79,0.003168
c8,8,0.237592
c8,80,0.053854
c8,81,0.001056
c8,82,0.003168
c8,83,0.006336
c8,84,0.001056
c8,85,0.001056
c8,86,0.001056
c8,87,0.008448
c8,88,0.022175
c8,89,0.001056
c8,9,0.322070
c8,90,0.006336
c8,91,0.001056
c8,92,0.168955
c8,93,0.002112
c8,94,0.033791
c8,95,0.017951
c8,96,0.004224
c8,97,0.001056
c8,98,0.001056
c8,99,0.001056
