character,state,probability
c14,21,0.008448
c14,3,0.049630
c14,4,0.275607
c14,5,0.095037
c14,6,0.034847
c14,7,0.001056
c14,8,0.298838
c14,9,0.026399
c15,10,0.007392
c15,11,0.244984
c15,12,0.074974
c15,13,0.020063
c15,14,0.033791
c15,15,0.568110
c15,16,0.016895
c15,17,0.003168
c15,18,0.034847
c15,19,0.221753
c15,2,0.643083
c15,20,0.345301
c15,21,0.344245
c15,22,0.327350
c15,23,0.032735
c15,24,0.005280
c15,25,0.007392
c15,26,0.162619
c15,27,0.033791
c15,28,0.007392
c15,29,0.068638
c15,3,0.016895
c15,30,0.048574
c15,31,0.047518
c15,32,0.006336
c15,33,0.024287
c15,34,0.002112
c15,35,0.023231
c15,36,0.061246
c15,37,0.001056
c15,38,0.003168
c15,39,0.001056
c15,4,0.447730
c15,40,0.087645
c15,41,0.001056
c15,42,0.003168
c15,43,0.002112
c15,5,0.147835
c15,6,0.279831
c15,7,0.335797
c15,8,0.158395
c15,9,0.001056
c16,10,0.327350
c16,11,0.001056
c16,12,0.298838
c16,13,0.162619
c16,14,0.086589
c16,15,0.176346
c16,16,0.001056
c16,17,0.192186
c16,18,0.001056
c16,19,0.071806
c16,2,0.001056
c16,20,0.001056
c16,21,0.299894
c16,22,0.001056
c16,23,0.001056
c16,24,0.003168
c16,25,0.001056
c16,26,0.053854
c16,3,0.143611
c16,4,0.229145
c16,5,0.383316
c16,6,0.158395
c16,7,0.023231
c16,8,0.344245
c16,9,0.277719
c17,10,0.060190
c17,11,0.435058
c17,12,0.299894
c17,13,0.057022
c17,14,0.129884
c17,15,0.398099
c17,16,0.116156
c17,17,0.161563
c17,18,0.158395
c17,19,0.104541
c17,2,0.015839
c17,20,0.020063
c17,21,0.030623
c17,22,0.001056
c17,23,0.097149
c17,24,0.031679
c17,25,0.344245
c17,26,0.183738
c17,27,0.001056
c17,28,0.168955
c17,29,0.237592
c17,3,0.025343
c17,30,0.001056
c17,31,0.119324
c17,32,0.016895
c17,33,0.001056
c17,34,0.001056
c17,35,0.373812
c17,36,0.001056
c17,37,0.168955
c17,38,0.014784
c17,39,0.178458
c17,4,0.001056
c17,40,0.001056
c17,41,0.232313
c17,42,0.059134
c17,43,0.095037
c17,44,0.036959
c17,45,0.008448
c17,46,0.009504
c17,47,0.220697
c17,48,0.010560
c17,49,0.001056
c17,5,0.070750
c17,50,0.036959
c17,51,0.001056
c17,52,0.001056
c17,53,0.020063
c17,54,0.002112
c17,55,0.162619
c17,56,0.001056
c17,57,0.013728
c17,58,0.001056
c17,59,0.298838
c17,6,0.727561
c17,60,0.002112
c17,61,0.218585
c17,62,0.007392
c17,63,0.001056
c17,64,0.032735
c17,65,0.149947
c17,66,0.004224
c17,67,0.001056
c17,68,0.001056
c17,69,0.022175
c17,7,0.322070
c17,70,0.052798
c17,71,0.001056
c17,72,0.006336
c17,73,0.034847
c17,74,0.275607
c17,75,0.002112
c17,76,0.001056
c17,77,0.001056
c17,78,0.004224
c17,79,0.001056
c17,8,0.368532
c17,80,0.001056
c17,81,0.001056
c17,82,0.012672
c17,83,0.008448
c17,84,0.006336
c17,85,0.128828
c17,9,0.001056
c18,10,0.162619
c18,11,0.147835
c18,12,0.221753
c18,13,0.327350
c18,14,0.568110
c18,15,0.006336
c18,16,0.002112
c18,17,0.279831
c18,18,0.002112
c18,19,0.026399
c18,2,0.643083
c18,20,0.004224
c18,3,0.335797
c18,4,0.013728
c18,5,0.345301
c18,6,0.074974
c18,7,0.061246
c18,8,0.016895
c18,9,0.447730
c19,10,0.327350
c19,11,0.176346
c19,12,0.006336
c19,13,0.029567
c19,14,0.277719
c19,15,0.299894
c19,16,0.002112
c19,17,0.002112
c19,18,0.006336
c19,19,0.061246
c19,2,0.084477
c19,20,0.016895
c19,21,0.025343
c19,22,0.001056
c19,23,0.013728
c19,24,0.050686
c19,25,0.026399
c19,26,0.004224
c19,27,0.229145
c19,28,0.298838
c19,3,0.013728
c19,4,0.102429
c19,5,0.012672
c19,6,0.383316
c19,7,0.162619
c19,8,0.252376
c19,9,0.004224
c20,10,0.299894
c20,11,0.085533
c20,12,0.398099
c20,13,0.008448
c20,14,0.058078
c20,15,0.128828
c20,16,0.162619
c20,17,0.435058
c20,18,0.168955
c20,19,0.005280
c20,2,0.373812
c20,20,0.002112
c20,21,0.020063
c20,22,0.232313
c20,23,0.298838
c20,24,0.119324
c20,3,0.727561
c20,4,0.161563
c20,5,0.025343
c20,6,0.002112
c20,7,0.275607
c20,8,0.368532
c20,9,0.178458
c21,10,0.098205
c21,11,0.345301
c21,12,0.158395
c21,13,0.447730
c21,14,0.005280
c21,15,0.002112
c21,16,0.221753
c21,17,0.021119
c21,18,0.327350
c21,19,0.074974
c21,2,0.244984
c21,20,0.007392
c21,21,0.087645
c21,22,0.003168
c21,23,0.002112
c21,24,0.004224
c21,25,0.013728
c21,3,0.147835
c21,4,0.643083
c21,5,0.001056
c21,6,0.335797
c21,7,0.279831
c21,8,0.028511
c21,9,0.568110
c22,10,0.072862
c22,11,0.158395
c22,12,0.252376
c22,13,0.001056
c22,14,0.299894
c22,15,0.001056
c22,16,0.176346
c22,17,0.298838
c22,18,0.001056
c22,19,0.001056
c22,2,0.001056
c22,20,0.084477
c22,21,0.277719
c22,22,0.327350
c22,23,0.192186
c22,24,0.001056
c22,25,0.001056
c22,26,0.015839
c22,27,0.029567
c22,28,0.043295
c22,3,0.383316
c22,4,0.143611
c22,5,0.001056
c22,6,0.003168
c22,7,0.229145
c22,8,0.001056
c22,9,0.344245
c23,10,0.161563
c23,11,0.039071
c23,12,0.275607
c23,13,0.085533
c23,14,0.299894
c23,15,0.198522
c23,16,0.220697
c23,17,0.020063
c23,18,0.368532
c23,19,0.168955
c23,2,0.727561
c23,20,0.004224
c23,21,0.183738
c23,22,0.003168
c23,23,0.009504
c23,24,0.022175
c23,25,0.009504
c23,26,0.027455
c23,27,0.116156
c23,28,0.001056
c23,29,0.013728
c23,3,0.237592
c23,30,0.038015
c23,31,0.006336
c23,32,0.178458
c23,33,0.025343
c23,34,0.001056
c23,35,0.232313
c23,36,0.373812
c23,37,0.344245
c23,38,0.077086
c23,39,0.013728
c23,4,0.322070
c23,40,0.003168
c23,41,0.022175
c23,42,0.032735
c23,43,0.022175
c23,44,0.015839
c23,45,0.014784
c23,46,0.149947
c23,47,0.005280
c23,48,0.060190
c23,49,0.012672
c23,5,0.017951
c23,50,0.015839
c23,51,0.119324
c23,52,0.007392
c23,53,0.162619
c23,54,0.001056
c23,55,0.034847
c23,56,0.001056
c23,57,0.003168
c23,58,0.011616
c23,59,0.055966
c23,6,0.435058
c23,60,0.025343
c23,61,0.129884
c23,62,0.158395
c23,63,0.001056
c23,64,0.001056
c23,65,0.298838
c23,66,0.002112
c23,67,0.022175
c23,68,0.026399
c23,69,0.024287
c23,7,0.007392
c23,70,0.047518
c23,71,0.034847
c23,72,0.002112
c23,73,0.014784
c23,74,0.001056
c23,75,0.072862
c23,76,0.004224
c23,77,0.001056
c23,78,0.036959
c23,79,0.001056
c23,8,0.398099
c23,80,0.095037
c23,9,0.001056
c24,10,0.447730
c24,11,0.244984
c24,12,0.068638
c24,13,0.061246
c24,14,0.016895
c24,15,0.009504
c24,16,0.147835
c24,17,0.001056
c24,18,0.003168
c24,19,0.055966
c24,2,0.568110
c24,20,0.098205
c24,21,0.021119
c24,22,0.001056
c24,23,0.003168
c24,24,0.221753
c24,25,0.013728
c24,26,0.001056
c24,27,0.023231
c24,28,0.001056
c24,29,0.001056
c24,3,0.279831
c24,30,0.001056
c24,31,0.020063
c24,32,0.087645
c24,33,0.026399
c24,34,0.001056
c24,35,0.001056
c24,36,0.003168
c24,37,0.074974
c24,38,0.003168
c24,39,0.004224
c24,4,0.643083
c24,40,0.082365
c24,41,0.011616
c24,42,0.007392
c24,43,0.002112
c24,44,0.001056
c24,45,0.008448
c24,46,0.025343
c24,47,0.006336
c24,48,0.020063
c24,49,0.045407
c24,5,0.345301
c24,50,0.001056
c24,51,0.001056
c24,52,0.006336
c24,53,0.004224
c24,54,0.002112
c24,55,0.327350
c24,56,0.001056
c24,57,0.001056
c24,58,0.001056
c24,59,0.344245
c24,6,0.033791
c24,60,0.013728
c24,61,0.012672
c24,62,0.014784
c24,63,0.003168
c24,64,0.001056
c24,65,0.001056
c24,7,0.335797
c24,8,0.119324
